DateTime,Rainfall
1900-01-01 01:00:00,0.01
1900-01-11 16:00:00,0
1900-01-11 17:00:00,0.03
1900-01-11 18:00:00,0.07
1900-01-11 19:00:00,0.02
1900-01-11 20:00:00,0.01
1900-01-11 21:00:00,0.05
1900-01-11 22:00:00,0.01
1900-01-11 23:00:00,0.15
1900-01-12 00:00:00,0.21
1900-01-12 01:00:00,0.04
1900-01-12 02:00:00,1.5
1900-01-12 03:00:00,0.04
1900-01-12 04:00:00,0.12
1900-01-14 12:00:00,0.01
1900-01-19 14:00:00,0.06
1900-01-19 16:00:00,0
1900-01-19 18:00:00,0.05
1900-01-19 19:00:00,0.6
1900-01-19 20:00:00,0.21
1900-01-20 01:00:00,0.01
1900-01-20 02:00:00,0.21
1900-01-20 05:00:00,0.01
1900-01-20 06:00:00,0.01
1900-01-20 07:00:00,0.01
1900-01-20 08:00:00,0.07
1900-01-20 09:00:00,0.04
1900-01-20 10:00:00,0
1900-01-20 11:00:00,0.03
1900-01-20 15:00:00,0.32
1900-01-20 16:00:00,0.07
1900-01-20 22:00:00,0.31
1900-01-20 23:00:00,0.03
1900-01-21 00:00:00,0.1
1900-01-21 01:00:00,0.02
1900-01-21 02:00:00,0.23
1900-01-25 20:00:00,0.72
1900-01-25 21:00:00,0.03
1900-01-25 22:00:00,0.24
1900-01-28 17:00:00,0
1900-01-28 18:00:00,0.01
1900-01-28 19:00:00,0.64
1900-01-28 20:00:00,0.01
1900-01-28 21:00:00,0.16
1900-01-28 22:00:00,0.07
1900-01-28 23:00:00,0.02
1900-01-29 00:00:00,0.06
1900-01-29 01:00:00,0.01
1900-02-01 01:00:00,0.06
1900-02-04 19:00:00,0.07
1900-02-04 20:00:00,0.28
1900-02-04 21:00:00,0.11
1900-02-04 22:00:00,0.03
1900-02-04 23:00:00,0.01
1900-02-05 00:00:00,0
1900-02-05 01:00:00,0.01
1900-02-05 02:00:00,0.03
1900-02-05 03:00:00,0.02
1900-02-08 05:00:00,0.01
1900-02-08 06:00:00,0.01
1900-02-08 07:00:00,0.01
1900-02-08 08:00:00,0.09
1900-02-08 09:00:00,0.02
1900-02-08 10:00:00,0
1900-02-08 11:00:00,0.05
1900-02-08 12:00:00,0.14
1900-02-08 13:00:00,0.12
1900-02-09 02:00:00,0.01
1900-02-12 18:00:00,0.07
1900-02-12 19:00:00,0.01
1900-02-12 20:00:00,0.01
1900-02-12 21:00:00,0.01
1900-02-13 11:00:00,0.04
1900-02-21 22:00:00,0.05
1900-02-21 23:00:00,0.01
1900-02-22 00:00:00,0
1900-02-22 01:00:00,0.01
1900-02-22 02:00:00,0.01
1900-02-22 03:00:00,0.1
1900-02-22 04:00:00,0.07
